V	J
-0.1	-239.115331171839
-0.05	-238.999536822603
0.0	-238.65215377489602
0.05000000000000002	-238.304770727188
0.1	-237.95738767948103
0.15	-237.84159333024502
0.20000000000000004	-237.494210282538
0.25	-236.91523853635897
0.30000000000000004	-236.220472440945
0.35	-235.641500694766
0.4	-234.71514590087997
0.45000000000000007	-234.02037980546498
0.5000000000000001	-232.515053265401
0.55	-231.12552107457196
0.6000000000000001	-229.272811486799
0.65	-226.26215840667
0.7000000000000001	-217.92496526169498
0.7500000000000001	-194.8818897637799
0.8	-121.35247799907401
0.8500000000000001	63.339509031959786
0.9	387.679481241315
