V	J
-0.1	-188.397406206577
-0.05	-188.16581750810602
0.0	-187.93422880963396
0.05000000000000002	-188.05002315887003
0.1	-187.355257063455
0.15	-187.007874015748
0.20000000000000004	-186.77628531727603
0.25	-186.544696618805
0.30000000000000004	-186.08151922186198
0.35	-185.386753126447
0.4	-184.460398332561
0.45000000000000007	-183.99722093561803
0.5000000000000001	-183.18666049096802
0.55	-182.260305697082
0.6000000000000001	-180.639184807781
0.65	-177.860120426123
0.7000000000000001	-171.14404817044897
0.7500000000000001	-150.99583140342793
0.8	-83.1403427512737
0.8500000000000001	96.34089856415066
0.9	345.067160722557
