t Vext Gehp
0.000e+00 1.170e+00 3.400e+27
4.699e-01 1.165e+00 3.400e+27
9.398e-01 1.161e+00 3.400e+27
1.410e+00 1.156e+00 3.400e+27
1.880e+00 1.151e+00 3.400e+27
2.349e+00 1.147e+00 3.400e+27
2.819e+00 1.142e+00 3.400e+27
3.289e+00 1.137e+00 3.400e+27
3.759e+00 1.132e+00 3.400e+27
4.229e+00 1.128e+00 3.400e+27
4.699e+00 1.123e+00 3.400e+27
5.169e+00 1.118e+00 3.400e+27
5.639e+00 1.114e+00 3.400e+27
6.108e+00 1.109e+00 3.400e+27
6.578e+00 1.104e+00 3.400e+27
7.048e+00 1.100e+00 3.400e+27
7.518e+00 1.095e+00 3.400e+27
7.988e+00 1.090e+00 3.400e+27
8.458e+00 1.085e+00 3.400e+27
8.928e+00 1.081e+00 3.400e+27
9.398e+00 1.076e+00 3.400e+27
9.867e+00 1.071e+00 3.400e+27
1.034e+01 1.067e+00 3.400e+27
1.081e+01 1.062e+00 3.400e+27
1.128e+01 1.057e+00 3.400e+27
1.175e+01 1.053e+00 3.400e+27
1.222e+01 1.048e+00 3.400e+27
1.269e+01 1.043e+00 3.400e+27
1.316e+01 1.038e+00 3.400e+27
1.363e+01 1.034e+00 3.400e+27
1.410e+01 1.029e+00 3.400e+27
1.457e+01 1.024e+00 3.400e+27
1.504e+01 1.020e+00 3.400e+27
1.551e+01 1.015e+00 3.400e+27
1.598e+01 1.010e+00 3.400e+27
1.645e+01 1.006e+00 3.400e+27
1.692e+01 1.001e+00 3.400e+27
1.739e+01 9.961e-01 3.400e+27
1.786e+01 9.914e-01 3.400e+27
1.833e+01 9.867e-01 3.400e+27
1.880e+01 9.820e-01 3.400e+27
1.927e+01 9.773e-01 3.400e+27
1.973e+01 9.727e-01 3.400e+27
2.020e+01 9.680e-01 3.400e+27
2.067e+01 9.633e-01 3.400e+27
2.114e+01 9.586e-01 3.400e+27
2.161e+01 9.539e-01 3.400e+27
2.208e+01 9.492e-01 3.400e+27
2.255e+01 9.445e-01 3.400e+27
2.302e+01 9.398e-01 3.400e+27
2.349e+01 9.351e-01 3.400e+27
2.396e+01 9.304e-01 3.400e+27
2.443e+01 9.257e-01 3.400e+27
2.490e+01 9.210e-01 3.400e+27
2.537e+01 9.163e-01 3.400e+27
2.584e+01 9.116e-01 3.400e+27
2.631e+01 9.069e-01 3.400e+27
2.678e+01 9.022e-01 3.400e+27
2.725e+01 8.975e-01 3.400e+27
2.772e+01 8.928e-01 3.400e+27
2.819e+01 8.881e-01 3.400e+27
2.866e+01 8.834e-01 3.400e+27
2.913e+01 8.787e-01 3.400e+27
2.960e+01 8.740e-01 3.400e+27
3.007e+01 8.693e-01 3.400e+27
3.054e+01 8.646e-01 3.400e+27
3.101e+01 8.599e-01 3.400e+27
3.148e+01 8.552e-01 3.400e+27
3.195e+01 8.505e-01 3.400e+27
3.242e+01 8.458e-01 3.400e+27
3.289e+01 8.411e-01 3.400e+27
3.336e+01 8.364e-01 3.400e+27
3.383e+01 8.317e-01 3.400e+27
3.430e+01 8.270e-01 3.400e+27
3.477e+01 8.223e-01 3.400e+27
3.524e+01 8.176e-01 3.400e+27
3.571e+01 8.129e-01 3.400e+27
3.618e+01 8.082e-01 3.400e+27
3.665e+01 8.035e-01 3.400e+27
3.712e+01 7.988e-01 3.400e+27
3.759e+01 7.941e-01 3.400e+27
3.806e+01 7.894e-01 3.400e+27
3.853e+01 7.847e-01 3.400e+27
3.900e+01 7.800e-01 3.400e+27
3.947e+01 7.753e-01 3.400e+27
3.994e+01 7.706e-01 3.400e+27
4.041e+01 7.659e-01 3.400e+27
4.088e+01 7.612e-01 3.400e+27
4.135e+01 7.565e-01 3.400e+27
4.182e+01 7.518e-01 3.400e+27
4.229e+01 7.471e-01 3.400e+27
4.276e+01 7.424e-01 3.400e+27
4.323e+01 7.377e-01 3.400e+27
4.370e+01 7.330e-01 3.400e+27
4.417e+01 7.283e-01 3.400e+27
4.464e+01 7.236e-01 3.400e+27
4.511e+01 7.189e-01 3.400e+27
4.558e+01 7.142e-01 3.400e+27
4.605e+01 7.095e-01 3.400e+27
4.652e+01 7.048e-01 3.400e+27
4.699e+01 7.001e-01 3.400e+27
4.746e+01 6.954e-01 3.400e+27
4.793e+01 6.907e-01 3.400e+27
4.840e+01 6.860e-01 3.400e+27
4.887e+01 6.813e-01 3.400e+27
4.934e+01 6.766e-01 3.400e+27
4.981e+01 6.719e-01 3.400e+27
5.028e+01 6.672e-01 3.400e+27
5.075e+01 6.625e-01 3.400e+27
5.122e+01 6.578e-01 3.400e+27
5.169e+01 6.531e-01 3.400e+27
5.216e+01 6.484e-01 3.400e+27
5.263e+01 6.437e-01 3.400e+27
5.310e+01 6.390e-01 3.400e+27
5.357e+01 6.343e-01 3.400e+27
5.404e+01 6.296e-01 3.400e+27
5.451e+01 6.249e-01 3.400e+27
5.498e+01 6.202e-01 3.400e+27
5.545e+01 6.155e-01 3.400e+27
5.592e+01 6.108e-01 3.400e+27
5.639e+01 6.061e-01 3.400e+27
5.686e+01 6.014e-01 3.400e+27
5.733e+01 5.967e-01 3.400e+27
5.780e+01 5.920e-01 3.400e+27
5.827e+01 5.873e-01 3.400e+27
5.873e+01 5.827e-01 3.400e+27
5.920e+01 5.780e-01 3.400e+27
5.967e+01 5.733e-01 3.400e+27
6.014e+01 5.686e-01 3.400e+27
6.061e+01 5.639e-01 3.400e+27
6.108e+01 5.592e-01 3.400e+27
6.155e+01 5.545e-01 3.400e+27
6.202e+01 5.498e-01 3.400e+27
6.249e+01 5.451e-01 3.400e+27
6.296e+01 5.404e-01 3.400e+27
6.343e+01 5.357e-01 3.400e+27
6.390e+01 5.310e-01 3.400e+27
6.437e+01 5.263e-01 3.400e+27
6.484e+01 5.216e-01 3.400e+27
6.531e+01 5.169e-01 3.400e+27
6.578e+01 5.122e-01 3.400e+27
6.625e+01 5.075e-01 3.400e+27
6.672e+01 5.028e-01 3.400e+27
6.719e+01 4.981e-01 3.400e+27
6.766e+01 4.934e-01 3.400e+27
6.813e+01 4.887e-01 3.400e+27
6.860e+01 4.840e-01 3.400e+27
6.907e+01 4.793e-01 3.400e+27
6.954e+01 4.746e-01 3.400e+27
7.001e+01 4.699e-01 3.400e+27
7.048e+01 4.652e-01 3.400e+27
7.095e+01 4.605e-01 3.400e+27
7.142e+01 4.558e-01 3.400e+27
7.189e+01 4.511e-01 3.400e+27
7.236e+01 4.464e-01 3.400e+27
7.283e+01 4.417e-01 3.400e+27
7.330e+01 4.370e-01 3.400e+27
7.377e+01 4.323e-01 3.400e+27
7.424e+01 4.276e-01 3.400e+27
7.471e+01 4.229e-01 3.400e+27
7.518e+01 4.182e-01 3.400e+27
7.565e+01 4.135e-01 3.400e+27
7.612e+01 4.088e-01 3.400e+27
7.659e+01 4.041e-01 3.400e+27
7.706e+01 3.994e-01 3.400e+27
7.753e+01 3.947e-01 3.400e+27
7.800e+01 3.900e-01 3.400e+27
7.847e+01 3.853e-01 3.400e+27
7.894e+01 3.806e-01 3.400e+27
7.941e+01 3.759e-01 3.400e+27
