t Vext Gehp
0.000e+00 1.170e+00 3.400e+27
2.181e-04 1.165e+00 3.400e+27
4.362e-04 1.161e+00 3.400e+27
6.543e-04 1.156e+00 3.400e+27
8.724e-04 1.151e+00 3.400e+27
1.090e-03 1.147e+00 3.400e+27
1.309e-03 1.142e+00 3.400e+27
1.527e-03 1.137e+00 3.400e+27
1.745e-03 1.132e+00 3.400e+27
1.963e-03 1.128e+00 3.400e+27
2.181e-03 1.123e+00 3.400e+27
2.399e-03 1.118e+00 3.400e+27
2.617e-03 1.114e+00 3.400e+27
2.835e-03 1.109e+00 3.400e+27
3.053e-03 1.104e+00 3.400e+27
3.271e-03 1.100e+00 3.400e+27
3.490e-03 1.095e+00 3.400e+27
3.708e-03 1.090e+00 3.400e+27
3.926e-03 1.085e+00 3.400e+27
4.144e-03 1.081e+00 3.400e+27
4.362e-03 1.076e+00 3.400e+27
4.580e-03 1.071e+00 3.400e+27
4.798e-03 1.067e+00 3.400e+27
5.016e-03 1.062e+00 3.400e+27
5.234e-03 1.057e+00 3.400e+27
5.452e-03 1.053e+00 3.400e+27
5.671e-03 1.048e+00 3.400e+27
5.889e-03 1.043e+00 3.400e+27
6.107e-03 1.038e+00 3.400e+27
6.325e-03 1.034e+00 3.400e+27
6.543e-03 1.029e+00 3.400e+27
6.761e-03 1.024e+00 3.400e+27
6.979e-03 1.020e+00 3.400e+27
7.197e-03 1.015e+00 3.400e+27
7.415e-03 1.010e+00 3.400e+27
7.633e-03 1.006e+00 3.400e+27
7.852e-03 1.001e+00 3.400e+27
8.070e-03 9.961e-01 3.400e+27
8.288e-03 9.914e-01 3.400e+27
8.506e-03 9.867e-01 3.400e+27
8.724e-03 9.820e-01 3.400e+27
8.942e-03 9.773e-01 3.400e+27
9.160e-03 9.727e-01 3.400e+27
9.378e-03 9.680e-01 3.400e+27
9.596e-03 9.633e-01 3.400e+27
9.814e-03 9.586e-01 3.400e+27
1.003e-02 9.539e-01 3.400e+27
1.025e-02 9.492e-01 3.400e+27
1.047e-02 9.445e-01 3.400e+27
1.069e-02 9.398e-01 3.400e+27
1.090e-02 9.351e-01 3.400e+27
1.112e-02 9.304e-01 3.400e+27
1.134e-02 9.257e-01 3.400e+27
1.156e-02 9.210e-01 3.400e+27
1.178e-02 9.163e-01 3.400e+27
1.200e-02 9.116e-01 3.400e+27
1.221e-02 9.069e-01 3.400e+27
1.243e-02 9.022e-01 3.400e+27
1.265e-02 8.975e-01 3.400e+27
1.287e-02 8.928e-01 3.400e+27
1.309e-02 8.881e-01 3.400e+27
1.330e-02 8.834e-01 3.400e+27
1.352e-02 8.787e-01 3.400e+27
1.374e-02 8.740e-01 3.400e+27
1.396e-02 8.693e-01 3.400e+27
1.418e-02 8.646e-01 3.400e+27
1.439e-02 8.599e-01 3.400e+27
1.461e-02 8.552e-01 3.400e+27
1.483e-02 8.505e-01 3.400e+27
1.505e-02 8.458e-01 3.400e+27
1.527e-02 8.411e-01 3.400e+27
1.549e-02 8.364e-01 3.400e+27
1.570e-02 8.317e-01 3.400e+27
1.592e-02 8.270e-01 3.400e+27
1.614e-02 8.223e-01 3.400e+27
1.636e-02 8.176e-01 3.400e+27
1.658e-02 8.129e-01 3.400e+27
1.679e-02 8.082e-01 3.400e+27
1.701e-02 8.035e-01 3.400e+27
1.723e-02 7.988e-01 3.400e+27
1.745e-02 7.941e-01 3.400e+27
1.767e-02 7.894e-01 3.400e+27
1.788e-02 7.847e-01 3.400e+27
1.810e-02 7.800e-01 3.400e+27
1.832e-02 7.753e-01 3.400e+27
1.854e-02 7.706e-01 3.400e+27
1.876e-02 7.659e-01 3.400e+27
1.897e-02 7.612e-01 3.400e+27
1.919e-02 7.565e-01 3.400e+27
1.941e-02 7.518e-01 3.400e+27
1.963e-02 7.471e-01 3.400e+27
1.985e-02 7.424e-01 3.400e+27
2.007e-02 7.377e-01 3.400e+27
2.028e-02 7.330e-01 3.400e+27
2.050e-02 7.283e-01 3.400e+27
2.072e-02 7.236e-01 3.400e+27
2.094e-02 7.189e-01 3.400e+27
2.116e-02 7.142e-01 3.400e+27
2.137e-02 7.095e-01 3.400e+27
2.159e-02 7.048e-01 3.400e+27
2.181e-02 7.001e-01 3.400e+27
2.203e-02 6.954e-01 3.400e+27
2.225e-02 6.907e-01 3.400e+27
2.246e-02 6.860e-01 3.400e+27
2.268e-02 6.813e-01 3.400e+27
2.290e-02 6.766e-01 3.400e+27
2.312e-02 6.719e-01 3.400e+27
2.334e-02 6.672e-01 3.400e+27
2.355e-02 6.625e-01 3.400e+27
2.377e-02 6.578e-01 3.400e+27
2.399e-02 6.531e-01 3.400e+27
2.421e-02 6.484e-01 3.400e+27
2.443e-02 6.437e-01 3.400e+27
2.465e-02 6.390e-01 3.400e+27
2.486e-02 6.343e-01 3.400e+27
2.508e-02 6.296e-01 3.400e+27
2.530e-02 6.249e-01 3.400e+27
2.552e-02 6.202e-01 3.400e+27
