V	J
-0.1	-239.115331171839
-0.095	-240.04168596572498
-0.09	-239.694302918018
-0.085	-239.92589161648897
-0.08	-239.92589161648897
-0.075	-239.92589161648897
-0.07	-239.57850856878198
-0.065	-239.34691987031002
-0.06	-239.115331171839
-0.055	-238.883742473367
-0.05	-238.999536822603
-0.045	-238.883742473367
-0.04	-239.231125521075
-0.035	-239.231125521075
-0.03	-239.46271421954603
-0.025	-239.231125521075
-0.02	-239.115331171839
-0.015	-238.999536822603
-0.01	-238.65215377489602
-0.005	-238.76794812413203
0.0	-238.65215377489602
0.005	-238.76794812413203
0.01	-238.883742473367
0.015	-239.115331171839
0.02	-238.999536822603
0.025	-238.999536822603
0.03	-238.65215377489602
0.035	-238.42056507642397
0.04	-238.304770727188
0.045	-238.07318202871699
0.05	-238.304770727188
0.055	-238.42056507642397
0.06	-238.53635942565998
0.065	-238.53635942565998
0.07	-238.76794812413203
0.075	-238.42056507642397
0.08	-238.304770727188
0.085	-238.188976377953
0.09	-237.95738767948103
0.095	-237.95738767948103
0.1	-237.95738767948103
0.105	-238.188976377953
0.11	-238.188976377953
0.115	-238.53635942565998
0.12	-238.42056507642397
0.125	-238.42056507642397
0.13	-238.07318202871699
0.135	-237.84159333024502
0.14	-237.72579898101
0.145	-237.610004631774
0.15	-237.84159333024502
0.155	-237.95738767948103
0.16	-238.188976377953
0.165	-238.188976377953
0.17	-238.188976377953
0.175	-237.84159333024502
0.18	-237.72579898101
0.185	-237.610004631774
0.19	-237.378415933302
0.195	-237.494210282538
0.2	-237.494210282538
0.205	-237.610004631774
0.21	-237.72579898101
0.215	-237.84159333024502
0.22	-237.610004631774
0.225	-237.610004631774
0.23	-237.262621584067
0.235	-236.91523853635897
0.24	-236.91523853635897
0.245	-236.79944418712395
0.25	-236.91523853635897
0.255	-236.91523853635897
0.26	-237.146827234831
0.265	-237.031032885595
0.27	-237.031032885595
0.275	-236.79944418712395
0.28	-236.452061139416
0.285	-236.336266790181
0.29	-236.104678091709
0.295	-236.220472440945
0.3	-236.220472440945
0.305	-236.452061139416
0.31	-236.336266790181
0.315	-236.452061139416
0.32	-236.220472440945
0.325	-236.104678091709
0.33	-235.87308939323802
0.335	-235.641500694766
0.34	-235.641500694766
0.345	-235.52570634553
0.35	-235.641500694766
0.355	-235.52570634553
0.36	-235.757295044002
0.365	-235.52570634553
0.37	-235.52570634553
0.375	-235.178323297823
0.38	-234.83094025011604
0.385	-234.83094025011604
0.39	-234.599351551644
0.395	-234.71514590087997
0.4	-234.71514590087997
0.405	-234.83094025011604
0.41	-234.71514590087997
0.415	-234.71514590087997
0.42	-234.36776285317302
0.425	-234.136174154701
0.43	-234.02037980546498
0.435	-233.78879110699398
0.44	-233.90458545623002
0.445	-233.90458545623002
0.45	-234.02037980546498
0.455	-233.90458545623002
0.46	-234.02037980546498
0.465	-233.55720240852298
0.47	-233.32561371005102
0.475	-233.094025011579
0.48	-232.74664196387198
0.485	-232.630847614636
0.49	-232.515053265401
0.495	-232.630847614636
0.5	-232.515053265401
0.505	-232.515053265401
0.51	-232.283464566929
0.515	-232.283464566929
0.52	-231.936081519222
0.525	-231.588698471515
0.53	-231.35710977304302
0.535	-231.12552107457196
0.54	-231.12552107457196
0.545	-231.00972672533604
0.55	-231.12552107457196
0.555	-230.77813802686399
0.56	-230.77813802686399
0.565	-230.199166280686
0.57	-229.967577582214
0.575	-229.73598888374198
0.58	-229.272811486799
0.585	-229.388605836035
0.59	-229.272811486799
0.595	-229.388605836035
0.6	-229.272811486799
0.605	-229.272811486799
0.61	-228.809634089856
0.615	-228.578045391385
0.62	-228.114867994442
0.625	-227.53589624826301
0.63	-227.304307549792
0.635	-226.84113015284902
0.64	-226.725335803613
0.645	-226.37795275590602
0.65	-226.26215840667
0.655	-225.567392311255
0.66	-225.22000926354798
0.665	-224.40944881889803
0.67	-223.48309402501198
0.675	-222.67253358036103
0.68	-221.74617878647499
0.685	-221.05141269106102
0.69	-220.12505789717497
0.695	-219.198703103289
0.7	-217.924965261695
0.705	-216.88281611857298
0.71	-215.14590088003698
0.715	-213.40898564150103
0.72	-211.44048170449298
0.725	-209.124594719778
0.73	-206.808707735063
0.735	-204.14543770264
0.74	-201.48216767021802
0.745	-198.35572024085198
0.75	-194.88188976377998
0.755	-190.597498842056
0.76	-185.96572487262603
0.765	-180.291801760074
0.77	-174.15470125057902
0.775	-167.670217693377
0.78	-160.02779064381699
0.785	-152.03798054654902
0.79	-142.890226956924
0.795	-132.58452987494198
0.8	-121.35247799907401
0.805	-108.962482630848
0.81	-95.0671607225567
0.815	-80.2454840203798
0.82	-64.2658638258453
0.825	-46.5493283927744
0.83	-27.559055118110194
0.835	-7.140259379342291
0.84	14.9374710514127
0.845	38.21213524779991
0.85	63.339509031959196
0.855	89.7406206577119
0.86	117.531264474294
0.865	146.479851783233
0.87	177.281148679944
0.875	209.00880037054202
0.88	242.24177860120395
0.885	276.864289022696
0.89	312.99212598425197
0.895	348.888374247337
0.9	387.679481241315
