V	J
-0.1	-19.8008337193145
-0.095	-19.8008337193145
-0.09	-19.8008337193145
-0.085	-19.6850393700787
-0.08	-19.6850393700787
-0.075	-19.6850393700787
-0.07	-19.8008337193145
-0.065	-19.6850393700787
-0.06	-19.8008337193145
-0.055	-19.6850393700787
-0.05	-19.6850393700787
-0.045	-19.8008337193145
-0.04	-19.569245020843
-0.035	-19.8008337193145
-0.03	-19.6850393700787
-0.025	-19.8008337193145
-0.02	-19.6850393700787
-0.015	-19.8008337193145
-0.01	-19.569245020843
-0.005	-19.6850393700787
0.0	-19.6850393700787
0.005	-19.569245020843
0.01	-19.6850393700787
0.015	-19.569245020843
0.02	-19.6850393700787
0.025	-19.569245020843
0.03	-19.6850393700787
0.035	-19.569245020843
0.04	-19.8008337193145
0.045	-19.569245020843
0.05	-19.569245020843
0.055	-19.6850393700787
0.06	-19.569245020843
0.065	-19.6850393700787
0.07	-19.569245020843
0.075	-19.569245020843
0.08	-19.4534506716072
0.085	-19.569245020843
0.09	-19.4534506716072
0.095	-19.4534506716072
0.1	-19.4534506716072
0.105	-19.337656322371497
0.11	-19.4534506716072
0.115	-19.337656322371497
0.12	-19.4534506716072
0.125	-19.337656322371497
0.13	-19.4534506716072
0.135	-19.337656322371497
0.14	-19.569245020843
0.145	-19.337656322371497
0.15	-19.337656322371497
0.155	-19.4534506716072
0.16	-19.221861973135702
0.165	-19.4534506716072
0.17	-19.337656322371497
0.175	-19.4534506716072
0.18	-19.337656322371497
0.185	-19.4534506716072
0.19	-19.221861973135702
0.195	-19.337656322371497
0.2	-19.337656322371497
0.205	-19.221861973135702
0.21	-19.337656322371497
0.215	-19.106067623900003
0.22	-19.221861973135702
0.225	-19.106067623900003
0.23	-19.337656322371497
0.235	-19.106067623900003
0.24	-19.337656322371497
0.245	-19.221861973135702
0.25	-19.106067623900003
0.255	-19.221861973135702
0.26	-19.106067623900003
0.265	-19.221861973135702
0.27	-19.106067623900003
0.275	-19.221861973135702
0.28	-19.106067623900003
0.285	-19.221861973135702
0.29	-19.106067623900003
0.295	-19.106067623900003
0.3	-19.106067623900003
0.305	-18.9902732746642
0.31	-19.106067623900003
0.315	-18.9902732746642
0.32	-18.9902732746642
0.325	-18.8744789254284
0.33	-18.9902732746642
0.335	-18.8744789254284
0.34	-18.9902732746642
0.345	-18.8744789254284
0.35	-18.7586845761927
0.355	-18.8744789254284
0.36	-18.7586845761927
0.365	-18.8744789254284
0.37	-18.7586845761927
0.375	-18.8744789254284
0.38	-18.7586845761927
0.385	-18.8744789254284
0.39	-18.7586845761927
0.395	-18.7586845761927
0.4	-18.8744789254284
0.405	-18.642890226956897
0.41	-18.8744789254284
0.415	-18.7586845761927
0.42	-18.8744789254284
0.425	-18.642890226956897
0.43	-18.7586845761927
0.435	-18.5270958777212
0.44	-18.642890226956897
0.445	-18.642890226956897
0.45	-18.5270958777212
0.455	-18.642890226956897
0.46	-18.4113015284854
0.465	-18.5270958777212
0.47	-18.4113015284854
0.475	-18.5270958777212
0.48	-18.4113015284854
0.485	-18.5270958777212
0.49	-18.4113015284854
0.495	-18.2955071792497
0.5	-18.4113015284854
0.505	-18.179712830013898
0.51	-18.2955071792497
0.515	-18.2955071792497
0.52	-18.4113015284854
0.525	-18.179712830013898
0.53	-18.2955071792497
0.535	-18.179712830013898
0.54	-18.179712830013898
0.545	-18.179712830013898
0.55	-18.0639184807781
0.555	-18.179712830013898
0.56	-18.0639184807781
0.565	-18.0639184807781
0.57	-17.9481241315424
0.575	-18.0639184807781
0.58	-17.8323297823066
0.585	-17.9481241315424
0.59	-17.9481241315424
0.595	-17.8323297823066
0.6	-17.8323297823066
0.605	-17.716535433070902
0.61	-17.716535433070902
0.615	-17.6007410838351
0.62	-17.716535433070902
0.625	-17.6007410838351
0.63	-17.716535433070902
0.635	-17.484946734599298
0.64	-17.3691523853636
0.645	-17.484946734599298
0.65	-17.2533580361278
0.655	-17.2533580361278
0.66	-17.1375636868921
0.665	-17.0217693376563
0.67	-16.7901806391848
0.675	-16.7901806391848
0.68	-16.5585919407133
0.685	-16.4427975914775
0.69	-16.211208893006
0.695	-15.863825845298702
0.7	-15.6322371468272
0.705	-15.1690597498842
0.71	-14.9374710514127
0.715	-14.4742936544697
0.72	-14.2427049559982
0.725	-13.4321445113479
0.73	-12.853172765169099
0.735	-12.1584066697545
0.74	-11.055610236220499
0.745	-10.038339509032
0.75	-8.7815609078277
0.755	-7.43818434460398
0.76	-5.60479504400185
0.765	-3.7560328855951792
0.77	-1.33255905511811
0.775	1.33221630384437
0.78	4.579549559981471
0.785	8.36425081056044
0.79	12.7373784159333
0.795	17.8323297823066
0.8	23.737841593330202
0.805	30.3381194997684
0.81	38.0963408985641
0.815	46.66512274201019
0.82	56.507642427049596
0.825	67.6238999536822
0.83	80.36127836961549
0.835	94.0250115794349
0.84	109.657248726262
0.845	126.563223714683
0.85	144.974525243168
0.855	165.00694766095398
0.86	186.77628531727603
0.865	210.050949513664
0.87	234.94673459935197
0.875	261.69522927281105
0.88	289.83325613710105
0.885	319.59240389069
0.89	350.856878184345
0.895	382.468735525706
0.9	416.04909680407604
